exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,conflict_rate_ci95,override_rate_ci95,latency_sample_count,simulation
b2.2,disjoint_edits,1,10,0,56.14419857460921,70.3354619573813,0.0015363000666981492,0.0009931511532315892,0.001,"[0.001446210569657838, 0.0016263895637384604]","[0.0009531706149971474, 0.0010331316914660308]",150,True
b2.2,disjoint_edits,3,10,0,66.1196703758303,84.9937980516149,0.0025641610327341805,0.0010145440592618075,0.001,"[0.0023505313660074677, 0.0027777906994608933]","[0.0009717331832122776, 0.0010573549353113374]",150,True
